Product Name,Quantity,Subtotal
Product 20,10,49.900000000000006
Product 15,4,23.96
Product 9,17,101.83
Product 22,1,1.99
Product 24,6,59.940000000000005
Product 23,7,34.93
Product 19,2,5.98
Product 7,7,13.93
Product 8,2,19.98
Product 10,2,19.98
Product 5,10,29.900000000000006
Product 11,6,23.94
Product 18,2,17.98
Product 12,2,5.98
Product 2,2,17.98
Product 3,2,13.98
Product 1,1,9.99
Product 4,1,3.99
Product 14,1,7.99
Product 16,1,9.99
Product 13,1,9.99
Product 6,1,8.99
Product 17,1,1.99
